sport,gender,level,type,fatal,non-fatal,,all
baseball,male,hs,direct,5,16,,21
basketball,female,hs,direct,-,1,,1
basketball,male,hs,direct,0,3,,3
football,male,hs,direct,36,250,,286
icehockey,female,hs,direct,-,1,,1
icehockey,male,hs,direct,2,12,,14
track,female,hs,direct,2,3,,5
track,male,hs,direct,3,5,,8
baseball,male,hs,indirect,7,7,,14
basketball,female,hs,indirect,5,2,,7
basketball,male,hs,indirect,40,37,,77
football,male,hs,indirect,81,50,,131
swimming,female,hs,indirect,2,2,,4
swimming,male,hs,indirect,6,1,,7
track,female,hs,indirect,2,-,,2
track,male,hs,indirect,9,9,,18
baseball,male,college,direct,-,6,,6
bb,male,college,direct,-,1,,1
football,male,college,direct,7,55,,62
track,female,college,direct,,1,,1
track,male,college,direct,2,4,,6
baseball,male,college,indirect,5,2,,7
bb,female,college,indirect,2,2,,4
basketball,male,college,indirect,11,29,,40
football,male,college,indirect,28,21,,49
swimming,female,college,indirect,2,1,,3
swimming,male,college,indirect,2,1,,3
track,female,college,indirect,-,1,,1
track,male,college,indirect,1,-,,1
